Sin,depth,Project,FundingSource,projectCode,invest,CollectMethod,matrix,SubMatrix,species,DateCollected,Year,location,sampler,agency,LAT,LONG,SampleType,QCERROR,comment
1119,-2,COAHAB1,EVOSTC,CH1,M01,HAND,TISSUE,WHOLE,MUSS,08-Apr-89,1989,BOISL,KARINEN,NMFS ABL,60.363,-147.692,ENV,GOOD,
1120,-2,COAHAB1,EVOSTC,CH1,M02,HAND,TISSUE,WHOLE,MUSS,08-Apr-89,1989,BOISL,KARINEN,NMFS ABL,60.363,-147.692,ENV,GOOD,
1121,-2,COAHAB1,EVOSTC,CH1,M03,HAND,TISSUE,WHOLE,MUSS,08-Apr-89,1989,BOISL,KARINEN,NMFS ABL,60.363,-147.692,ENV,GOOD,
1150,1,AIRWAT3,EVOSTC,AW03,00101232473774,HAND,WATER,,,04-Apr-89,1989,BOISL,SHORT,NMFS ABL,60.387,-147.629,ENV,GOOD,
1151,1,AIRWAT3,EVOSTC,AW03,00110232473774,HAND,WATER,,,04-Apr-89,1989,BOISL,SHORT,NMFS ABL,60.387,-147.629,ENV,GOOD,
1152,1,AIRWAT3,EVOSTC,AW03,00111232473774,HAND,WATER,,,04-Apr-89,1989,BOISL,SHORT,NMFS ABL,60.387,-147.629,ENV,GOOD,
1154,5,AIRWAT3,EVOSTC,AW03,10110232473774,HAND,WATER,,,04-Apr-89,1989,BOISL,SHORT,NMFS ABL,60.387,-147.629,ENV,GOOD,
1156,1,AIRWAT3,EVOSTC,AW03,00101311572410,HAND,WATER,,,04-Apr-89,1989,SMITI,SHORT,NMFS ABL,60.519,-147.402,ENV,GOOD,
1157,1,AIRWAT3,EVOSTC,AW03,00110311572410,HAND,WATER,,,04-Apr-89,1989,SMITI,SHORT,NMFS ABL,60.519,-147.402,ENV,GOOD,
1158,1,AIRWAT3,EVOSTC,AW03,00111311572410,HAND,WATER,,,04-Apr-89,1989,SMITI,SHORT,NMFS ABL,60.519,-147.402,ENV,GOOD,
1160,5,AIRWAT3,EVOSTC,AW03,10110311572410,HAND,WATER,,,04-Apr-89,1989,SMITI,SHORT,NMFS ABL,60.519,-147.402,ENV,GOOD,
1161,5,AIRWAT3,EVOSTC,AW03,10111311572410,HAND,WATER,,,04-Apr-89,1989,SMITI,SHORT,NMFS ABL,60.519,-147.402,ENV,GOOD,
1162,1,AIRWAT3,EVOSTC,AW03,00101603273405,HAND,WATER,,,04-Apr-89,1989,ELEAI,SHORT,NMFS ABL,60.535,-147.568,ENV,GOOD,
1163,1,AIRWAT3,EVOSTC,AW03,00110603273405,HAND,WATER,,,04-Apr-89,1989,ELEAI,SHORT,NMFS ABL,60.535,-147.568,ENV,GOOD,
1164,1,AIRWAT3,EVOSTC,AW03,00111603273405,HAND,WATER,,,04-Apr-89,1989,ELEAI,SHORT,NMFS ABL,60.535,-147.568,ENV,GOOD,
1166,5,AIRWAT3,EVOSTC,AW03,10110603273405,HAND,WATER,,,04-Apr-89,1989,ELEAI,SHORT,NMFS ABL,60.535,-147.568,ENV,GOOD,
1167,5,AIRWAT3,EVOSTC,AW03,10111603273405,HAND,WATER,,,04-Apr-89,1989,ELEAI,SHORT,NMFS ABL,60.535,-147.568,ENV,GOOD,
1168,1,AIRWAT3,EVOSTC,AW03,00101279075795,HAND,WATER,,,02-Apr-89,1989,ESHAB,SHORT,NMFS ABL,60.465,-147.966,ENV,GOOD,
1169,1,AIRWAT3,EVOSTC,AW03,00110279075795,HAND,WATER,,,02-Apr-89,1989,ESHAB,SHORT,NMFS ABL,60.465,-147.966,ENV,GOOD,
1170,1,AIRWAT3,EVOSTC,AW03,00111279075795,HAND,WATER,,,02-Apr-89,1989,ESHAB,SHORT,NMFS ABL,60.465,-147.966,ENV,GOOD,
1172,5,AIRWAT3,EVOSTC,AW03,10110279075795,HAND,WATER,,,02-Apr-89,1989,ESHAB,SHORT,NMFS ABL,60.465,-147.966,ENV,GOOD,
1173,5,AIRWAT3,EVOSTC,AW03,10111279075795,HAND,WATER,,,02-Apr-89,1989,ESHAB,SHORT,NMFS ABL,60.465,-147.966,ENV,GOOD,
1174,1,AIRWAT3,EVOSTC,AW03,00101248975739,HAND,WATER,,,02-Apr-89,1989,GRANB,SHORT,NMFS ABL,60.415,-147.956,ENV,GOOD,
1175,1,AIRWAT3,EVOSTC,AW03,00110248975739,HAND,WATER,,,02-Apr-89,1989,GRANB,SHORT,NMFS ABL,60.415,-147.956,ENV,GOOD,
